89,84,87,96
37,47,43,22
87,95,94,73
41,25,29,68
87,78,83,86
45,61,53,48
91,94,96,96
30,25,20,19
78,76,67,67
64,70,81,80
82,82,67,69
55,57,78,75
87,94,74,78
42,29,67,60
87,83,87,93
42,52,43,31
91,97,95,86
30,18,22,42
78,64,72,91
64,84,74,41
80,62,77,91
58,83,65,40
85,63,88,92
48,78,43,34
88,74,94,88
39,65,28,40
89,89,82,94
37,38,52,27
85,91,94,80
48,37,30,59
90,91,84,93
36,33,48,28
87,87,95,82
42,44,25,53
87,93,79,94
44,30,60,29
92,86,95,85
29,42,23,45
76,91,71,91
67,43,77,43
77,90,73,90
64,44,74,44
78,92,78,92
60,38,66,38
80,89,85,90
56,43,52,42
83,93,94,92
51,33,30,36
85,86,82,89
47,47,54,41
89,96,96,94
36,22,21,28
86,73,71,80
45,68,70,58
88,87,84,94
40,43,49,28
91,94,96,84
32,24,19,48
79,74,67,93
62,73,81,37
82,79,68,88
55,63,77,45
87,90,74,94
43,37,65,27
90,91,90,81
35,33,35,52
85,86,89,94
46,46,41,29
89,95,94,83
38,25,28,50
88,79,82,95
39,58,53,24
85,93,95,76
49,32,27,65
91,87,82,91
33,41,51,33
84,93,93,86
51,34,33,48
90,89,88,95
34,37,39,22
84,90,91,73
51,41,37,70
89,93,91,85
38,30,34,47
89,85,89,95
38,47,38,25
85,94,91,76
49,30,37,65
91,85,93,90
32,44,28,36
83,94,81,89
53,32,59,44
89,87,93,95
37,42,28,23
86,93,83,76
45,31,54,64
89,85,96,91
36,45,20,35
87,94,71,90
42,29,70,39
88,84,84,91
41,50,49,34
90,96,96,89
35,20,22,38
83,70,73,90
52,74,71,41
89,81,84,93
38,55,50,28
90,95,96,82
35,24,21,51
82,75,71,94
54,69,74,32
89,86,80,87
38,44,56,43
88,95,95,94
40,26,25,27
87,79,78,82
42,59,61,54
90,94,93,97
34,27,28,19
82,79,82,67
55,63,58,78
88,92,94,74
41,34,28,64
90,89,83,90
33,37,49,35
81,89,93,88
57,43,34,46
87,94,88,94
42,29,41,27
90,84,93,81
34,48,27,52
83,93,79,94
53,33,61,31
89,88,93,86
37,40,30,44
87,93,84,94
41,30,49,27
87,84,96,81
42,49,24,55
90,95,77,95
34,23,59,24
82,74,91,74
55,69,38,69
88,85,91,86
41,47,35,46
90,97,91,96
33,19,34,20
82,66,86,69
56,78,50,77
88,74,95,76
40,66,25,62
89,90,78,92
38,36,58,31
86,90,94,85
45,37,29,50
90,90,85,96
35,34,46,20
86,88,94,70
46,42,29,72
89,94,83,83
39,28,50,51
89,82,96,97
36,51,21,20
83,94,70,68
53,30,73,75
89,85,81,79
38,47,53,59
89,95,96,93
35,23,23,29
83,73,73,81
53,71,71,57
89,84,85,94
36,48,47,26
87,95,94,80
42,26,27,57
88,79,80,95
41,58,55,26
90,94,96,80
34,26,21,55
82,78,70,94
55,65,75,33
88,90,79,87
42,37,59,43
91,92,94,95
30,30,24,21
78,81,74,70
63,61,72,77
82,89,80,74
55,43,59,70
87,94,93,84
43,28,31,50
88,83,86,95
40,51,46,24
90,96,96,77
35,21,22,59
82,70,72,91
54,74,71,38
88,80,83,92
41,56,52,32
91,95,96,87
32,22,21,42
79,71,70,91
61,75,76,40
84,77,75,92
50,65,67,36
89,90,89,90
37,36,39,35
87,89,91,89
42,38,35,40
88,92,89,92
39,32,39,32
88,87,92,87
40,45,33,43
86,94,87,95
44,30,43,27
90,85,95,81
34,45,24,52
84,93,75,94
51,34,67,30
89,88,89,85
37,39,39,46
88,93,92,96
40,31,33,24
86,85,86,76
47,49,48,65
92,97,97,91
29,16,17,32
78,60,62,84
65,86,85,57
81,58,61,92
55,83,83,37
86,64,65,90
45,77,76,38
88,76,77,92
40,63,61,32
89,91,92,87
37,34,31,43
84,87,85,93
49,45,51,34
89,96,96,89
37,22,21,38
89,74,73,92
36,64,66,30
83,88,87,84
53,45,47,54
90,95,97,96
34,24,19,21
84,75,68,71
49,66,75,71
89,90,79,83
37,36,58,50
88,90,94,95
39,36,28,24
85,90,81,77
